Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
Paket CPU Gaming PC Gamer / Nvidia AMD Ati Radeon intel core i3 i5;Rp1.699.000;EXCO COMPUTER STORE;Kab. Wonosobo;5.0;100+ terjual
PC Gaming Nvidia GTX 750ti;Rp1.500.000;Ezdt Gaming;Bandung;N/A;N/A
VGA PC Nvidia ASUS TUF Gaming GTX 1650 4GB | GTX1650 4 GB OC GDDR6;Rp1.850.000;YOUR FUTURE COMP by TOKOPEDIA;Jakarta Selatan;5.0;3 terjual
Mini PC Gamer Intel i7 13800H i9 12900H i7-12700H NVIDIA RTX 4060 3050 8G Desktop Gaming Mini Computer PCIE4.0 WiFi6 Windows 11;Rp38.363.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC Gaming Render CBU Lenovo M700MT ThinkCentre Core i5 6500 Nvidia GT740 4GB RAM 8/256GB SSD Like New / Custom Built UP;Rp2.250.000;FOZTRO;Jakarta Pusat;N/A;N/A
PC GAMING | Intel i5 10600 | RAM 16GB | NVIDIA GTX1050 | MOBO ASUS TUF WIFI | SSD SAMSUNG 250GB;Rp5.950.000;Rudhi Soe Arts;Surabaya;N/A;N/A
PC Gaming i5 | I5-12400f | 16Gb | GTX 1650 4Gb Nvidia;Rp11.600.000;Evcys Computer id;Jakarta Selatan;5.0;12 terjual
PC Gaming Intel i5 9400F RAM 16GB SSD 1TB VGA Nvidia GT 730 Motherboard MSI H310M DS2 Wifi Gaming Gigabyte Komputer Good Condition;Rp3.100.000;NuraLink;Surabaya;N/A;N/A
LIKE NEW! PC GAMING DESAIN LENOVO M700 I5 8/256 NVIDIA 4GB SIAP PAKAI;Rp2.500.000;VinStore1611;Jakarta Pusat;N/A;N/A
PC GAMING INTEL i5 Gen 2 VGA NVIDIA GT 1030 DDR5 MURMER;Rp3.800.000;allmueza;Tangerang;5.0;1 terjual
PC Gaming Intel Core i7 4790 Gen4 16GB with Nvidia GTX 1650 4GB;Rp4.990.000;Vinorious Computer;Surabaya;N/A;N/A
PC Gaming | Ryzen 5 3600 | NVidia RTX 2060 | 16GB RAM | 256GB NVme;Rp11.999.000;Carant;Jakarta Utara;5.0;2 terjual
9th Gen Intel Gaming Mini PC  Xeon D-1581 MSI NVIDIA Desktop Computer DVI HD DP 4K Display WiFi Windows 10 Pro;Rp22.667.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC AMD RYZEN 5 2600 6 Core Ram 16GB NVIDIA GTX 1650 4GB GAMING SSD 256;Rp5.000.000;allmueza;Tangerang;N/A;N/A
PC GAMING i8GBVGA NVIDIA GT 2GB DDR5 PES19 PREMIE;Rp4.750.000;Kanaya Jaya;Samarinda;N/A;N/A
paketan pc gaming Ryzen 5 Ram 16gb ssd 1tb Vga Nvidia Gtx 750 Ti 4GB;Rp8.200.000;Bengkellaptop-1;Jakarta Pusat;N/A;N/A
"Top MagicBook Pro 16 HUNTER 2024 Gaming Laptop Intel Ultra 5 7 NVIDIA RTX 4060 24 32GB 1TB 16"" Inch 3K 165Hz Gamer Computer PC PJXVB";Rp19.305.767;sitikanaa;Jakarta Barat;N/A;N/A
Nvidia GTX 1060 6GB Original ASUS ROG STRIX + Dus Original | VGA PC GAMING ATX ITX;Rp1.700.000;FOZTRO;Jakarta Pusat;N/A;N/A
LIKE NEW! PC GAMING DESAIN LENOVO M700 I5 8/256 NVIDIA 4GB SIAP PAKAI;Rp2.500.000;IGZ STORE OFFICIAL;Jakarta Pusat;N/A;N/A
PC GAMING FULLSET INTEL CORE I5 VGA NVIDIA GEFORCE 4GB VRAM EDITING;Rp2.470.000;Kadal Gaming Surabaya;Surabaya;N/A;N/A
